t,P_TP53,P_BRCA1,P_MYC,P_CCND1,P_PTEN,P_ATM,P_CDKN1A,P_BCL2,P_PARP1,P_AKT1
69.3467336683417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69.84924623115577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70.35175879396985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70.85427135678391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71.35678391959799,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71.85929648241205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72.36180904522612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72.8643216080402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73.36683417085426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73.86934673366834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74.3718592964824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74.87437185929647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75.37688442211055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75.87939698492461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76.38190954773869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76.88442211055276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77.38693467336682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77.8894472361809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78.39195979899498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78.89447236180904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79.39698492462311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79.89949748743717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80.40201005025125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80.90452261306532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81.40703517587939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81.90954773869346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82.41206030150752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82.9145728643216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83.41708542713567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83.91959798994974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84.42211055276381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84.92462311557789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85.42713567839195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85.92964824120602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86.4321608040201,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86.93467336683416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87.43718592964824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87.9396984924623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88.44221105527637,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88.94472361809045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89.44723618090451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89.94974874371859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90.45226130653265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90.95477386934672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91.4572864321608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91.95979899497486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92.46231155778894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92.96482412060301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93.46733668341707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93.96984924623115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94.47236180904522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94.97487437185929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95.47738693467336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95.97989949748742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96.4824120603015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96.98492462311557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97.48743718592964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97.98994974874371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98.49246231155777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98.99497487437185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99.49748743718592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
